type_building,Electricity:Facility [kW](Hourly)_mean,Electricity:Facility [kW](Hourly)_std_dev,Electricity:Facility [kW](Hourly)_max_value,Electricity:Facility [kW](Hourly)_min_value,Electricity:Facility [kW](Hourly)_25_percentile,Electricity:Facility [kW](Hourly)_50_percentile,Electricity:Facility [kW](Hourly)_75_percentile,Fans:Electricity [kW](Hourly)_mean,Fans:Electricity [kW](Hourly)_std_dev,Fans:Electricity [kW](Hourly)_max_value,Fans:Electricity [kW](Hourly)_min_value,Fans:Electricity [kW](Hourly)_25_percentile,Fans:Electricity [kW](Hourly)_50_percentile,Fans:Electricity [kW](Hourly)_75_percentile,Cooling:Electricity [kW](Hourly)_mean,Cooling:Electricity [kW](Hourly)_std_dev,Cooling:Electricity [kW](Hourly)_max_value,Cooling:Electricity [kW](Hourly)_min_value,Cooling:Electricity [kW](Hourly)_25_percentile,Cooling:Electricity [kW](Hourly)_50_percentile,Cooling:Electricity [kW](Hourly)_75_percentile,Heating:Electricity [kW](Hourly)_mean,Heating:Electricity [kW](Hourly)_std_dev,Heating:Electricity [kW](Hourly)_max_value,Heating:Electricity [kW](Hourly)_min_value,Heating:Electricity [kW](Hourly)_25_percentile,Heating:Electricity [kW](Hourly)_50_percentile,Heating:Electricity [kW](Hourly)_75_percentile,InteriorLights:Electricity [kW](Hourly)_mean,InteriorLights:Electricity [kW](Hourly)_std_dev,InteriorLights:Electricity [kW](Hourly)_max_value,InteriorLights:Electricity [kW](Hourly)_min_value,InteriorLights:Electricity [kW](Hourly)_25_percentile,InteriorLights:Electricity [kW](Hourly)_50_percentile,InteriorLights:Electricity [kW](Hourly)_75_percentile,InteriorEquipment:Electricity [kW](Hourly)_mean,InteriorEquipment:Electricity [kW](Hourly)_std_dev,InteriorEquipment:Electricity [kW](Hourly)_max_value,InteriorEquipment:Electricity [kW](Hourly)_min_value,InteriorEquipment:Electricity [kW](Hourly)_25_percentile,InteriorEquipment:Electricity [kW](Hourly)_50_percentile,InteriorEquipment:Electricity [kW](Hourly)_75_percentile
RefBldgLargeHotelNew2004,0.4777899361292468,0.23865777162571292,1.0,0.0,0.2668318907095311,0.5047488003477298,0.6717771979525693,0.15250598684389996,0.07457799877111819,0.9999999999999998,0.0,0.1235701864294545,0.1800224737455931,0.20164559829823342,0.5630963428545185,0.2721065854703206,1.0,0.0,0.32096190377773476,0.5499031611460605,0.8408403861372986,0.009569752822109982,0.06241744560608224,1.0,0.0,0.0,0.0,0.0,0.3246425461760129,0.2759931254144842,1.0,0.0,0.18334524407974406,0.18917658747355026,0.437369054015875,0.40261894862072417,0.2753398461539124,1.0,0.0,0.1962955703275272,0.44815735417405095,0.6022352863874407
RefBldgLargeOfficeNew2004,0.36815601448676377,0.30950761425996176,1.0,0.0,0.05933125902584321,0.3240868960719434,0.6244213279023897,0.1311231154789656,0.1137066613085923,1.0,0.0,0.0,0.20241365358924862,0.20323134935270912,0.312707525039753,0.3575538677863166,1.0,0.0,0.0,0.09771511607438768,0.6772966933382976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3630539887187803,0.4217827531896813,0.9999999999999998,0.0,0.0,0.05882352941173693,0.9999999999999998,0.38901255707728666,0.3897063293953328,1.0,0.0,0.0833333333330546,0.1666666666661093,0.8333333333338907
RefBldgLargeOfficeNew2004,0.35956941371647705,0.30339159534774723,1.0,0.0,0.056749369822257915,0.3233406028958765,0.6176107925058899,0.09436566151952537,0.08649665037232496,1.0,0.0,0.0,0.1445443455058476,0.14709766762936957,0.3160647999253071,0.3507642065569771,1.0,0.0,0.0,0.11475223809120698,0.7014966069342988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3630539887187803,0.4217827531896813,0.9999999999999998,0.0,0.0,0.05882352941173693,0.9999999999999998,0.38901255707728666,0.3897063293953328,1.0,0.0,0.0833333333330546,0.1666666666661093,0.8333333333338907
RefBldgLargeOfficeNew2004,0.35763139103695263,0.29782046622993985,0.9999999999999999,0.0,0.05527630523918256,0.3225043706291966,0.616982498057737,0.07876973660697201,0.07471174493017457,1.0,0.0,0.0,0.11821869751061806,0.11986259926398654,0.34047309813047943,0.36568594357729023,1.0,0.0,0.0,0.15432409483026077,0.7828003671672195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3630539887187803,0.4217827531896813,0.9999999999999998,0.0,0.0,0.05882352941173693,0.9999999999999998,0.38901255707728666,0.3897063293953328,1.0,0.0,0.0833333333330546,0.1666666666661093,0.8333333333338907
RefBldgLargeOfficeNew2004,0.32913452019803535,0.30520881012222445,1.0,0.0,0.059265689887469296,0.21779848489516704,0.5549591149454237,0.19443859626243915,0.15712518391287603,1.0,0.0,0.0,0.3022804744043637,0.3022804744043637,0.20411906926276513,0.33941311630092785,1.0,0.0,0.0,0.0,0.4139049808533033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3630539887187803,0.4217827531896813,0.9999999999999998,0.0,0.0,0.05882352941173693,0.9999999999999998,0.38901255707728666,0.3897063293953328,1.0,0.0,0.0833333333330546,0.1666666666661093,0.8333333333338907
RefBldgLargeOfficeNew2004,0.282327154348251,0.2579298618592051,1.0,0.0,0.05106361481555062,0.20390885132391906,0.47802318086395446,0.06171953951054036,0.05330984605722622,1.0,0.0,0.0,0.09626776767489632,0.09626776767489632,0.20500179989935172,0.33942353319113633,1.0,0.0,0.0,0.0,0.42046463062177664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3630539887187803,0.4217827531896813,0.9999999999999998,0.0,0.0,0.05882352941173693,0.9999999999999998,0.38901255707728666,0.3897063293953328,1.0,0.0,0.0833333333330546,0.1666666666661093,0.8333333333338907
RefBldgMediumOfficeNew2004,0.24360562623396484,0.19260586713175792,1.0,0.0,0.0702320793751073,0.2143943092783693,0.4128423515470168,0.2234632103417681,0.19760785169907427,1.0,0.0,0.0,0.3356625919107425,0.3388921340750304,0.11330514667696885,0.18047138824346742,0.9999999999999999,0.0,0.0,0.002571046025714069,0.1701120537885502,0.053556381098177834,0.11034308272116564,0.9999999999999999,0.0,0.0,0.0,0.052391400813880495,0.3630539887188665,0.4217827531897616,1.0,0.0,0.0,0.0588235294115969,1.0,0.32651775531142185,0.3511895425761395,1.0,0.0,0.07298880769756927,0.09868835534733383,0.8108429598087814
RefBldgMediumOfficeNew2004,0.23806538111653675,0.18881942977357358,1.0000000000000002,0.0,0.06987521688298537,0.20594432937694457,0.4071477310121697,0.21382049379843204,0.1934544230147566,1.0,0.0,0.0,0.32189767287567644,0.32809176635054793,0.10883709276012012,0.16739936477082157,1.0,0.0,0.0,0.0030666859048863776,0.17000670303015497,0.04397932994441973,0.09579977531606312,1.0,0.0,0.0,0.0,0.03851467414928328,0.3630539887188665,0.4217827531897616,1.0,0.0,0.0,0.0588235294115969,1.0,0.32651775531142185,0.3511895425761395,1.0,0.0,0.07298880769756927,0.09868835534733383,0.8108429598087814
RefBldgMediumOfficeNew2004,0.24222695458541843,0.19124318166909185,1.0000000000000002,0.0,0.0700371331773942,0.2122501394455859,0.4110571137458615,0.20665326772949458,0.18655015366217265,1.0,0.0,0.0,0.308869165831006,0.3143085337089029,0.11820388379968778,0.17470086664348394,1.0,0.0,0.0,0.009342665341893503,0.19527660208438194,0.0435113856220218,0.09627414075171861,1.0,0.0,0.0,0.0,0.03634385106611625,0.3630539887188665,0.4217827531897616,1.0,0.0,0.0,0.0588235294115969,1.0,0.32651775531142185,0.3511895425761395,1.0,0.0,0.07298880769756927,0.09868835534733383,0.8108429598087814
RefBldgMediumOfficeNew2004,0.2266592817070652,0.1814212307262775,1.0000000000000002,0.0,0.06599157257707408,0.18595373458710268,0.374884744188563,0.22089645409192898,0.1852966318671116,1.0,0.0,0.0,0.33940522757160363,0.3396591115766847,0.07685920017029005,0.15286273901001854,1.0,0.0,0.0,0.0,0.06302584534686291,0.06080243779499122,0.1163475603546531,1.0,0.0,0.0,0.0,0.06947859555739266,0.3630539887188665,0.4217827531897616,1.0,0.0,0.0,0.0588235294115969,1.0,0.32651775531142185,0.3511895425761395,1.0,0.0,0.07298880769756927,0.09868835534733383,0.8108429598087814
