Electricity:Facility_mean,Electricity:Facility_std,Fans:Electricity_mean,Fans:Electricity_std,InteriorLights:Electricity_mean,InteriorLights:Electricity_std,type_building,Cluster_KMeans,Cluster_DBSCAN,Cluster_Hierarchical
0.4062524800768917,-0.06095974053700537,0.8005503412783874,-0.5371242116513718,0.4343280156641256,-0.09977124880991338,RefBldgLargeHotelNew2004,0,1,0
0.4031806618076386,-0.0657789008398142,0.801164296258398,-0.5153454035789515,0.4343280156641256,-0.09977124880991338,RefBldgLargeHotelNew2004,0,1,0
0.37650798405170743,-0.04524021051066075,0.801390031028373,-0.5549073687314771,0.4343280156641256,-0.09977124880991338,RefBldgLargeHotelNew2004,0,1,0
0.3809202811005263,-0.051275086453073104,0.8030719820178435,-0.5496069818777756,0.4343280156641256,-0.09977124880991338,RefBldgLargeHotelNew2004,0,1,0
1.8892443318320937,2.8800435172614067,0.5043895849086459,1.0160408284107403,1.1530800683707296,3.250866354316876,RefBldgLargeOfficeNew2004,1,-1,1
1.9658716900949453,2.9698937436764488,0.5028449027642179,1.1305247407470707,1.1530800683707296,3.250866354316876,RefBldgLargeOfficeNew2004,1,-1,1
2.010382916670498,2.9988045545053503,0.502315375605664,1.2365672772135667,1.1530800683707296,3.250866354316876,RefBldgLargeOfficeNew2004,1,-1,1
1.2625567569145753,2.7001472316903397,0.5184252429714242,0.9012011544407923,1.1530800683707296,3.250866354316876,RefBldgLargeOfficeNew2004,1,-1,1
1.3623127371168247,2.6342798344863696,0.5216284085667529,1.015356475201145,1.1530800683707296,3.250866354316876,RefBldgLargeOfficeNew2004,1,-1,1
-0.36824402167832104,-0.30628865111031817,-0.5801590395012898,-0.5557709824817116,-0.6571993845127986,-0.30279436949396676,RefBldgMediumOfficeNew2004,0,2,0
-0.37602494771552525,-0.31261107880142563,-0.5803325915485991,-0.5514669267542461,-0.6571993845127986,-0.30279436949396676,RefBldgMediumOfficeNew2004,0,2,0
-0.3698777611000513,-0.3081489359743028,-0.5803952970542015,-0.5504493780466186,-0.6571993845127986,-0.30279436949396676,RefBldgMediumOfficeNew2004,0,2,0
-0.38558868302433713,-0.3052285658249955,-0.583021712801424,-0.5757718660064524,-0.6571993845127986,-0.30279436949396676,RefBldgMediumOfficeNew2004,0,2,0
-0.3923935262410395,-0.3214037675491291,-0.582619392745968,-0.5707950073480851,-0.6571993845127986,-0.30279436949396676,RefBldgMediumOfficeNew2004,0,2,0
-0.5710613189625736,-0.6516192118328351,-0.6820569478770774,-0.6463472065508535,-0.7196224650183995,-0.6644629899801914,RefBldgMidriseApartmentNew2004,0,3,0
-0.5695701990331058,-0.6494233767589749,-0.6825337791269709,-0.6479277566459531,-0.7196224650183995,-0.6644629899801914,RefBldgMidriseApartmentNew2004,0,3,0
-0.5681074529147825,-0.6467571905943384,-0.6806565818347486,-0.6389060059881713,-0.7196224650183995,-0.6644629899801914,RefBldgMidriseApartmentNew2004,0,3,0
