type_building,var1_mean,var1_std_dev,var2_mean,var2_std_dev
RefBldgStand-aloneRetailNew2004,0.0,10.064602260547922,5.9839097835,3.831091405543027
RefBldgStand-aloneRetailNew2004,0.0,10.484037757357573,5.9839097835,3.831091405543027
RefBldgStand-aloneRetailNew2004,0.0,11.268385612367652,5.9839097835,3.831091405543027
RefBldgStand-aloneRetailNew2004,0.0,7.199910695310333,5.9839097835,3.831091405543027
RefBldgStand-aloneRetailNew2004,0.0,7.354131084384009,5.9839097835,3.831091405543027
RefBldgStripMallNew2004,0.0,9.540207451650204,4.49418456,2.87732142790922
RefBldgStripMallNew2004,0.0,9.920112078677667,4.49418456,2.87732142790922
RefBldgStripMallNew2004,0.0,10.65796379555948,4.49418456,2.87732142790922
RefBldgStripMallNew2004,0.0,6.732633092303956,4.49418456,2.87732142790922
RefBldgStripMallNew2004,0.0,6.798158338316003,4.49418456,2.87732142790922
